route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Delhi-Jaipur,2025-10-13,3.09,-1.3% vs this route's past average,+1.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-10-13,2.13,+0.3% vs this route's past average,-1.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-10-13,2.63,-1.2% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-10-13,2.16,-0.9% vs this route's past average,+1.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-10-13,3.17,-3.4% vs this route's past average,+5.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-10-20,2.61,+0.7% vs this route's past average,+0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-10-20,2.55,+0.3% vs this route's past average,-3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-10-20,2.90,-0.4% vs this route's past average,-7.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-10-20,3.11,-0.5% vs this route's past average,+2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-10-20,2.12,-0.2% vs this route's past average,-1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-10-20,2.65,-0.2% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-10-20,2.16,-0.7% vs this route's past average,+1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-10-20,3.16,-3.6% vs this route's past average,+5.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-10-27,2.61,+0.6% vs this route's past average,+0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-10-27,2.56,+0.6% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-10-27,2.93,+0.9% vs this route's past average,-6.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-10-27,3.11,-0.4% vs this route's past average,+1.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-10-27,2.12,-0.2% vs this route's past average,-1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-10-27,2.64,-0.5% vs this route's past average,+2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-10-27,2.16,-0.6% vs this route's past average,+1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-10-27,3.18,-2.9% vs this route's past average,+5.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-11-03,2.62,+0.9% vs this route's past average,+0.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-11-03,2.54,-0.2% vs this route's past average,-4.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-11-03,2.91,+0.1% vs this route's past average,-7.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-11-03,3.11,-0.3% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-11-03,2.12,-0.2% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-11-03,2.67,+0.8% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-11-03,2.17,-0.1% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-11-03,3.17,-3.2% vs this route's past average,+5.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-11-10,2.61,+0.4% vs this route's past average,+0.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-11-10,2.54,-0.3% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-11-10,2.92,+0.5% vs this route's past average,-7.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-11-10,3.11,-0.3% vs this route's past average,+1.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-11-10,2.11,-0.5% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-11-10,2.64,-0.5% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-11-10,2.18,+0.5% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-11-10,3.19,-2.6% vs this route's past average,+5.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-11-17,2.62,+0.7% vs this route's past average,+1.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-11-17,2.57,+0.8% vs this route's past average,-1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-11-17,2.91,+0.0% vs this route's past average,-7.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-11-17,3.10,-0.5% vs this route's past average,+1.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-11-17,2.12,+0.1% vs this route's past average,-1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-11-17,2.62,-1.1% vs this route's past average,+1.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-11-17,2.16,-0.5% vs this route's past average,+1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-11-17,3.22,+1.4% vs this route's past average,+7.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-11-24,2.59,-0.6% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-11-24,2.55,-0.1% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-11-24,2.90,-0.4% vs this route's past average,-7.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-11-24,3.11,-0.1% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-11-24,2.13,+0.5% vs this route's past average,-1.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-11-24,2.64,-0.2% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-11-24,2.16,-0.3% vs this route's past average,+1.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-11-24,3.18,+0.0% vs this route's past average,+5.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
